"","N1178_CN_24H","N1178_CN_2H","N1178_CN_48H","N1178_CN_6H","N1178_MB_24H","N1178_MB_2H","N1178_MB_48H","N1178_MB_6H","N1178_TB_24H","N1178_TB_2H","N1178_TB_48H","N1178_TB_6H","N121_CN_24H","N121_CN_2H","N121_CN_48H","N121_CN_6H","N121_MB_24H","N121_MB_2H","N121_MB_48H","N121_MB_6H","N121_TB_24H","N121_TB_2H","N121_TB_48H","N121_TB_6H","N138_CN_24H","N138_CN_2H","N138_CN_48H","N138_CN_6H","N138_MB_24H","N138_MB_2H","N138_MB_48H","N138_MB_6H","N138_TB_24H","N138_TB_2H","N138_TB_48H","N138_TB_6H","N158R_CN_24H","N158R_CN_2H","N158R_CN_48H","N158R_CN_6H","N158R_MB_24H","N158R_MB_2H","N158R_MB_48H","N158R_MB_6H","N158R_TB_24H","N158R_TB_2H","N158R_TB_48H","N158R_TB_6H","N1855_CN_24H","N1855_CN_2H","N1855_CN_48H","N1855_CN_6H","N1855_MB_24H","N1855_MB_2H","N1855_MB_48H","N1855_MB_6H","N1855_TB_24H","N1855_TB_2H","N1855_TB_48H","N1855_TB_6H","N1859_CN_24H","N1859_CN_2H","N1859_CN_48H","N1859_CN_6H","N1859_MB_24H","N1859_MB_2H","N1859_MB_48H","N1859_MB_6H","N1859_TB_24H","N1859_TB_2H","N1859_TB_48H","N1859_TB_6H","N1861_CN_24H","N1861_CN_2H","N1861_CN_6H","N1861_MB_24H","N1861_MB_2H","N1861_MB_6H","N1861_TB_24H","N1861_TB_2H","N1861_TB_6H","N1864_CN_24H","N1864_CN_2H","N1864_CN_48H","N1864_CN_6H","N1864_MB_24H","N1864_MB_2H","N1864_MB_48H","N1864_MB_6H","N1864_TB_24H","N1864_TB_2H","N1864_TB_48H","N1864_TB_6H","N1870_CN_24H","N1870_CN_2H","N1870_CN_48H","N1870_CN_6H","N1870_MB_24H","N1870_MB_2H","N1870_MB_48H","N1870_MB_6H","N1870_TB_24H","N1870_TB_2H","N1870_TB_48H","N1870_TB_6H","N98_CN_24H","N98_CN_2H","N98_CN_48H","N98_CN_6H","N98_MB_24H","N98_MB_2H","N98_MB_48H","N98_MB_6H","N98_TB_24H","N98_TB_2H","N98_TB_48H","N98_TB_6H"
"ENSBTAG00000027610",6.75688213515953,6.62280234446221,6.56384921980504,6.54291967368196,7.34034749185645,6.40617354018008,6.1841518400766,6.41578284062107,7.17553278751081,6.6761033180331,6.31281454267653,6.78592543642502,6.35173879081781,6.16972476392458,6.67083201334569,6.11177763420134,6.07899650680309,6.2880023199086,6.07093213412316,6.22540243726591,6.07726278077357,6.16790190791921,6.25439250737973,6.13597351970058,7.06025276406541,6.88481943925878,6.99468703883428,6.87568153069857,6.64560058815457,7.15759735570076,6.48916928010041,7.03722938590212,6.56638042749541,7.07108557766637,6.65981610878118,7.05243532333617,6.97792709821169,6.85281681342072,7.20081799229219,6.87196269780356,6.72238575627682,6.91755908573291,6.71438541249443,7.11784307160586,6.5443698295866,6.94721587910644,6.42191363688082,6.75392604238198,7.36609358328572,6.80925277016824,7.06183950076887,6.43035606697769,6.58639849430438,6.71579818360667,6.55101297443904,6.49698182549629,6.37418417841709,6.56485712367408,6.58950521621582,7.09860344316501,6.74258722831718,7.12958017963167,6.94962855000644,6.96488127190803,6.73160793356087,7.15207330337314,6.34992212837243,6.94961899649733,6.8326793120701,7.42626263339133,6.50860882272242,6.81367675455807,6.94701693422127,6.89651208328772,7.01547670780107,6.68600594187408,7.25299611878445,6.93405908827047,7.00965973176393,6.88573421245372,6.99074772189671,7.10647887363195,7.18880534752225,7.1455691926259,7.00479069678199,6.89437326997766,7.11568064879946,6.59750574946433,6.9474431860427,7.01417099926902,7.06320249451574,7.33615659327059,7.36505291139867,7.05560544712723,7.37097222758738,6.96037783151708,7.01357762785306,7.15873648668734,7.28368677341941,6.88160563611965,6.89079317778409,7.34773086818934,7.1090657895447,7.26784716968759,7.05809128057855,5.76953784165738,5.87383398294647,6.42763333336316,5.76703763531518,5.42110710672233,5.67664413490926,5.75487087201755,5.81041925771482,5.63874387793894,5.94327096132878,5.65680943517293,5.8355663168389
"ENSBTAG00000019253",3.67928230918892,3.3951523214526,3.29639054004752,3.59588903612129,3.88010499924684,3.07267619159403,3.01101051918108,3.22395050832814,4.08579736846801,3.33718081651796,2.7652775404095,3.42925741720642,2.62297548109095,2.39644258928718,3.18700169725832,2.67737459978616,2.72838256195645,2.6255099632162,2.34235081557646,2.60978441797096,2.75998473247745,2.93300835655385,2.95573994437406,2.85646153303021,3.47216456323251,3.66113193029593,2.92555611066737,3.20503617298814,3.24724581231769,3.85995404536009,2.9779337919444,3.32844417590151,2.81574986928274,3.39275520590108,3.23461706982955,3.08953981205671,3.40068258941807,3.29086314522116,3.58295580536515,2.60461677613951,3.0398715326064,2.92784692804006,3.14051012871548,3.29998003449665,2.60017998015533,3.25080145432234,2.41243637003734,2.9314449892249,3.85956920473094,2.60708217213036,3.11637379328095,2.65957511118157,2.8482124115423,2.2938749687542,3.06616871312404,2.79611174501049,2.37986152228686,2.89438769246922,2.91981968041429,1.69785639855738,2.98585250823787,3.34442154632743,2.80800048158244,3.13330033548214,2.85085157816861,3.40578161082193,0.604682003481286,2.92560303369751,2.9771902297278,3.14591926226354,3.36026236061265,2.94595317622444,3.4680327369167,2.95150268528589,3.58343818454608,3.2620619195288,3.58334752835662,3.39086702246206,3.11230431538789,3.61966063130682,3.65945315547103,3.54865225962854,3.37487841509177,3.4658947316247,3.50480934595102,3.65502944447451,3.15800050644809,2.87141623490533,3.36687585944582,3.17623397393236,2.72580901477329,3.80001891965286,3.82870865148039,3.39077915936472,3.20480487505103,3.19259351251919,3.53356624151104,3.23877997005409,3.53858723436064,3.23831206827911,3.51151353421645,3.47806332874308,3.50618635919013,3.23286133711418,3.3844561327067,2.38551922978546,2.68654714586366,2.93869788131013,1.82780321744619,2.67306457429113,2.56955523902294,1.99328863099616,2.32345416068797,1.99970547387419,2.41886630696088,2.72087361422987,2.60095429793214
"ENSBTAG00000025564",7.12506903272804,7.44062207421625,7.30270402161785,7.3376050318793,7.92577595143947,7.37909422735916,7.33449062201325,7.53971035898037,7.73822032101058,7.57441323816725,7.14322355455154,7.60236336173447,7.05879543973067,7.83762412346583,7.19047261382289,7.65342391189396,7.15453313080756,7.96914416710917,7.36958841194163,7.72769064834963,7.02908713108316,7.80191087633742,7.07169840278955,7.88687983257762,7.25066859636974,7.43543745570858,7.32383982882165,7.03846054961108,7.17028375198435,7.80313743550256,7.28200402863751,7.5709330548421,7.15843595274876,7.5701719022439,7.1795035864851,7.51195414851269,7.40961446606569,7.98669923072569,7.54573866475534,7.83211473659058,7.74496684491065,7.98425458558909,7.73287594090205,8.177335654835,7.57709542538,8.03064711687069,7.37144399879482,7.72415711728314,7.80925592433031,8.04313621800309,7.69600748987474,7.58365425075195,7.56443261963939,7.9268132833009,7.87856604601532,7.6840064766458,7.4895985741993,7.95685884277579,7.57579947790752,8.02935077967066,7.51707728034365,7.95492479913981,7.72801804290415,7.6329712875879,7.57454137254708,7.9466433182201,8.04653840619426,7.83106181608508,7.86548390975453,8.36603459972148,7.59565790795035,7.76158910327657,7.02741594438841,7.56071251963601,7.46002007231047,7.45477833571767,7.80865429316631,7.6225355644574,7.27524837721744,7.66468919239979,7.55064970814328,6.91160817005698,7.91290731756718,7.39749338180078,7.29209521138226,7.03473816259913,7.71040072150765,7.4593290040577,7.43165205287035,6.93127567796765,7.95263561371704,7.57688072903519,7.94501127591087,7.56748848126772,7.85946240172487,7.47447452900943,7.70278845074853,7.75985445866874,7.8385461857831,7.84772011306535,7.77219249491597,7.65510964738555,7.8448958410463,7.74092477406788,8.05123898017286,7.03230994014331,7.68113542406752,7.42258497143071,7.35806869562836,6.99750347976157,7.64848140862017,7.38984691921589,7.47133068511174,7.03051770734249,7.70784798986971,7.13525277543927,7.52303849996733
"ENSBTAG00000047107",5.40509667727168,7.58398091236128,4.77256270422543,6.43367815006959,8.22205432893414,8.43816717122215,8.53043087904951,8.84677553774255,7.90801408509079,8.82968490150584,6.80734438859585,9.50151083318636,4.20528109889838,5.32527414191201,4.05499573611793,6.57859004610194,6.70825393168456,5.51777606080959,6.40330300685575,6.77204220816615,6.21106876684055,5.61399043652137,5.38152365871831,7.23671624579732,2.19268898886377,4.43084757198522,2.3285780026964,4.60548029017173,6.32937238760041,4.44435334990734,6.90543513881707,7.3482146573748,6.78623681339556,5.48085288568676,7.10818006286598,7.93737790295634,3.47308123799603,4.91468481681104,2.77115963710008,5.85174031665087,6.69339060096298,4.90598608829664,6.55022971150024,6.30573177865099,6.84595635129694,5.49837901148698,6.5668649307493,6.43752288641558,2.76782520363797,4.87358584690207,2.62957354442657,5.97653275166178,6.88490253718932,5.52046415522866,7.02139080435486,6.76957180777641,6.94856632522362,5.51536225983022,6.79965445495872,7.18464163480227,2.63253150445546,5.64954821603062,2.71337930280074,5.49653793166722,6.64415951745171,5.89302499008452,7.16739309513579,7.33167532702636,6.68115667378618,6.22396365683847,6.81379608705951,8.15127074223342,4.68089585393094,4.65712011540469,7.01313307559056,8.16509112785581,4.3030829003935,7.77292611266964,6.58313685662229,4.41904133857137,7.79258651880829,4.1089338927882,3.72417637424969,4.40105868208045,5.93255659782057,7.96942230287315,4.00245300614186,7.55456064606305,6.74816381940092,6.49751982822504,4.10337227817445,7.76058251584787,7.24118322266936,3.75917698238829,4.82113949815183,3.96036551383837,5.5024434752205,6.57553375673799,5.21468011129446,7.35199837295212,7.86233572726718,5.80275294175477,5.24993568094589,5.29798778563259,8.1564397911974,5.47580361927858,5.15703721895358,4.09343732193647,6.40202548231045,6.96569248599117,5.18142968087772,6.84613800170621,6.44543083782216,6.67399330771555,5.2938821976038,6.23700165390745,6.85055752560258
"ENSBTAG00000016683",8.753574545649,10.2260738545648,8.13042716212602,9.32582362500949,9.33207566324689,10.3763638954362,9.56882509725148,10.4238382458078,9.23366740323078,10.2941800531373,8.90001972009048,10.4229521011747,8.08994054273631,9.86184095302602,7.87557229062857,9.43106942630082,8.81910496141501,10.1143327852643,8.87608806682245,9.75553607784176,8.83034869193572,10.1304683971273,8.55487510906049,9.70548967969393,7.61969983273377,9.46506515597297,7.59860739624108,8.30498965407546,9.03584659604633,10.4412692044066,9.36080552857015,10.0777963881781,9.18667485407277,9.93491082513583,9.26794535502488,10.1835860834853,8.10459620610873,9.86481572741655,8.14386912653001,9.43115856113755,9.09766997604861,10.1746859138922,8.88079534258087,10.0181075093858,8.93682066862027,10.2686358477265,8.87334626416079,9.8038258195777,8.17824154150258,9.76954886044818,7.6975774992665,8.63139310178832,9.01982184700019,10.1459784118309,8.77220629991233,9.78645425797314,9.2064901024731,9.94733076532317,8.80639604631921,9.82835619104127,7.64079584103608,9.43966701484896,7.57976837963522,8.59596818762668,9.06479222060675,10.2185799497036,9.15925283378719,9.91036119910784,9.29066389385878,9.99992667870848,8.75146382217288,10.0900165968744,8.00692899779818,10.1456486756039,9.60067149596566,9.53530238019161,10.7014953446865,10.1344755085068,9.14096367541268,10.3998706071858,10.0433844555882,8.5881962262948,10.1868615833756,8.42446666567707,9.8563609717423,9.70961106181351,10.7329668455786,9.18885042052444,10.3172836249857,9.21275258055863,10.5827133872871,9.3326509147192,10.140046652079,8.59847179239779,10.0169905073905,8.31546663599023,9.38123923412147,9.47932061828998,10.5161132671752,9.57403699956436,10.3762910822472,9.32276746902002,9.93867927043697,8.92279150566794,10.1024096958224,8.82479026509414,9.61285792675235,8.07400032526601,9.43796265767863,9.34530917025431,9.80973270365063,9.23302523903491,9.34080695818466,9.31448001290322,9.810166043198,8.87234387471411,9.31642636137591
"ENSBTAG00000016085",4.89358085211282,5.35361803148313,5.10348618602596,5.30771119400225,4.88777844227291,5.05455458844939,5.25372016697208,5.62226631937498,5.00226073147079,5.35509510837676,5.64061928186198,5.49504664637399,4.5043417449349,5.17006543451039,4.26510250264103,5.14218978719791,4.29609127551631,5.2371999761148,4.07787311916016,5.03882240784393,4.41462206809803,5.0515482586194,4.4213257292007,5.00722334560633,4.46663019413754,5.48396865448486,4.62166512580021,5.45807302196687,4.6965211934625,5.11835671968015,4.97559698046231,5.22958683914847,4.72008353283329,5.25613041495462,4.39687211670862,5.46481263508169,4.53082589330739,5.21601302671631,4.73303592517203,5.00968289455011,4.63051304325383,5.24461676026141,4.54741504716972,5.28479544581331,4.52740487957232,5.00189524553953,4.48458205828048,5.21939987212087,4.36205694337813,4.78451327368222,4.9412764956389,4.94866319122666,4.35719797106582,4.95360695723765,4.31989853009448,4.90145669162617,4.41094095336724,4.85682798898682,3.93089499319226,5.14077430386771,4.54900040814063,4.81569689124141,4.92480864462078,5.19804541847709,4.68439687498172,4.87475234553495,4.86378486065573,5.12426665897967,4.54410056116817,4.82798188388039,4.05268934749853,5.08331328492656,4.37333932259254,4.75659097869303,5.01292087469233,4.39312105946978,4.98343791905047,4.83182304919617,4.73348510224698,4.74927979610692,5.12703368973885,4.26465922138957,4.87377789684905,4.50701804624537,5.12507103640525,4.67016441485383,4.77893822704551,4.88231294945162,5.13799846406488,4.51799676902301,5.18693436954916,4.61408888392895,4.77588232674208,4.754569319948,5.45121895957809,5.17388148223842,5.43317481355126,5.04717617125857,5.3576254930656,5.22487096430667,5.5691750868919,4.97869452374636,5.30935494479337,5.20200380705735,5.3177651322677,4.40721130122497,5.14000548324428,4.72360096332374,5.02753380948639,4.55592412079064,5.2378909186426,4.56507663368428,5.14784793221569,4.62412197399488,5.25042269027399,4.86269665829761,5.01597660580122
"ENSBTAG00000021377",-3.48548059663712,-5.87820626233064,-5.87820626233064,-2.2677946268962,-5.87820626233064,-3.19404845548579,-5.87820626233064,-3.3802389361957,-5.87820626233064,-5.87820626233064,-5.87820626233064,-5.87820626233064,-3.06627171429502,-1.78773507851986,-5.87820626233064,-5.87820626233064,-2.18868022811007,-2.77043930557155,-2.70271637866985,-2.61105862560055,-3.60873470320473,-3.63484144026955,-3.69002801040391,-0.80389959983268,-2.17829197732283,-2.59394905655899,-2.6435609391011,-5.87820626233064,-3.55313683698511,-2.61268407583228,-5.87820626233064,-5.87820626233064,-3.56424979569814,-3.44374923973045,-3.47655192824186,-5.87820626233064,-5.87820626233064,-1.56327484796346,-1.52465501422673,-5.87820626233064,-2.22449526926648,-5.87820626233064,-1.60579836828281,-2.62959149563417,-3.57027519349759,-2.66409723604061,-1.54132806318821,-3.72636331089818,-3.32405599210672,-5.87820626233064,-5.87820626233064,-3.6205644378202,-5.87820626233064,-5.87820626233064,-3.43748175572019,-5.87820626233064,-5.87820626233064,-3.50093650321615,-3.57656055904917,-5.87820626233064,-3.00518629726753,-3.60819338409673,-2.79563956785153,-2.78740246910017,-2.80320094378167,-3.6304826589708,-0.868545908276344,-3.82852560723544,-3.60929800344672,-3.48333697668801,-3.47854694089808,-5.87820626233064,-2.27642274293621,-3.62020086034435,-5.87820626233064,-3.19649687137974,-5.87820626233064,-5.87820626233064,-2.54692245255311,-3.51378268657356,-2.67635207639169,0.300712210726933,0.730261298614366,0.274639707190852,-0.160830653472565,1.50792595697648,-0.0212745069721009,1.09233951659286,0.283982854048652,0.62249793265545,0.176283543507435,0.427567632145707,0.0310105631945107,-5.87820626233064,-5.87820626233064,-2.8669720164387,-2.81596605741216,-3.58449770702147,-5.87820626233064,-5.87820626233064,-5.87820626233064,-3.73211553901781,-5.87820626233064,-5.87820626233064,-5.87820626233064,-0.979384732458435,-1.75553903524313,-0.611497308827684,-1.56413881819351,-0.830806570440802,-1.89493950917635,-0.709182934590116,-1.0877876430919,-2.91673160190767,-1.93190955128285,-0.689012638501398,-5.87820626233064
"ENSBTAG00000019872",8.46869053068433,9.38254473673636,8.47512218674242,9.5072231188263,9.2941815497204,9.72925347407387,10.4992408633311,10.3813836895756,8.99039601811645,9.74162989021745,9.15255897647739,10.4681075445358,8.59957198879018,9.7922400029416,8.4218901919824,10.1462035190571,9.79397596423948,9.73623244224136,9.91005258474926,10.1684840838242,9.44719826144694,9.84460350532692,8.96262767087784,10.1526526753459,8.44744333533301,8.93766390953082,8.79158048943235,9.18527386669246,9.55607378354501,8.88045944267814,10.3457025667167,10.2025381454223,9.81402223504333,9.01168018956505,10.0422799679225,10.2003330908437,8.48172797199796,9.45051613179747,8.54362964371851,9.58522226606542,10.1166275764934,9.34762355589121,10.1311497118423,9.94062589967929,10.1293510576774,9.52016837951581,10.3346612921697,10.0875767564263,8.071205878127,8.90749121291228,8.49814087044733,9.32077212962927,9.63035442529961,9.10776074851817,10.2708650427695,10.0289858262769,9.77960124669284,9.07867285899465,10.0736091086733,10.3596982807393,8.19175965267724,8.87383829626274,8.21674191906303,9.1344894749533,9.3059110196091,9.01360387275566,10.7934058073761,10.0341547733801,9.44500974681756,8.72248865140939,9.61107183579793,10.3448731712687,8.53994537543664,9.00763037875035,10.0418996927082,10.5133672182645,8.80859959192232,10.4202776078415,9.07920537841914,8.88471761836456,10.197118899116,8.43434384942719,8.5851168274255,8.47829027780951,9.73780978908932,9.94875873207261,8.6573497557185,10.1208806288756,10.2073108908528,8.93943417322976,9.19493929010874,9.29698197026136,9.96284006844388,8.24022758944461,8.78482850614638,8.47805378679773,9.60580759049352,9.0637579734405,8.80079418680676,10.152038167421,10.5667064455046,8.6784160049486,8.87978592909029,8.74011377991101,10.2780100769491,9.32088443409285,9.7533481749083,8.53112988363403,9.98786335273914,10.0854003908179,9.79538881874467,10.0938311406854,10.005615452335,9.87161408005865,9.78923948463214,9.69718644736403,9.88351045409275
"ENSBTAG00000006240",7.32885450735591,7.05983676008652,7.53405572579203,6.87283567710263,7.58947386393982,7.26861834959514,8.63971969246253,7.24723400290155,7.57230239091961,7.2982361139164,8.06598297777532,7.24476368099052,8.21699914581516,7.97175328473512,7.82326040078638,7.81275069174865,8.20445762946005,8.00778257883126,8.5372444577079,7.76367693101562,8.30954890884508,7.86810543179108,8.0533296622783,7.55790276382429,7.43594941029241,6.75683108389218,7.68987789374891,6.3270470058839,7.67466129460204,6.99148198630891,8.42892000462939,6.86345604307461,7.95897822538846,6.94345108925479,8.01000285568967,6.82058242405495,7.67853121390598,7.74530984250096,7.77117189451994,7.38693414624444,8.22124853369341,7.67819541960577,8.1775547292242,7.95915461237089,8.24678308514786,7.46386739464749,8.29317392590802,8.16891933744353,7.39549776445921,7.34796045085253,7.56050416843431,6.90071819350165,8.17856477546453,7.16180051691134,8.57323706121041,7.43849594282155,8.32488245465299,7.22078714916175,8.20238766105401,7.57245137694592,7.19475907335537,6.96293809143127,7.22909085599066,6.57962108955922,7.95019024404085,7.18846554566258,7.99444975691448,7.21832101258755,7.94709189068457,7.06199690035612,7.83543618664001,7.5656606594664,7.14534720873438,6.82955604072128,6.87110675396533,7.9637708832805,6.79317974235939,7.47091208006454,7.64597362531646,6.69949807855229,7.2015423511818,7.12213893071075,6.97588094597332,7.20800019168505,6.96734263478913,7.76523787813268,7.06232408740151,7.9815589979689,7.4071563071046,7.60284167212038,7.05632519332063,7.20750519581575,6.83832401902914,7.30310794824453,6.60901876458083,7.63253884674528,6.81966305845384,7.49966673510997,6.90509671636172,7.64979639386531,7.35175180248157,7.30372834996205,6.84271903165632,7.55973144705937,7.00162869311047,8.69983131864229,8.3787148936175,7.88655976718334,7.96238615330383,8.56351882094014,8.38539810342814,8.40532096540085,8.07074576076325,8.52308472679044,8.32344873214438,8.16124210487398,7.90244821373128
"ENSBTAG00000015271",5.41734924585714,6.26090093896503,5.57294265799742,5.76085778563039,5.48653457310007,6.92739363076273,6.07786873280837,6.75781332653599,5.51411567154701,6.86493070498843,5.67372061314777,7.02509541633641,4.92236018896344,6.1281556224432,4.97585761642974,6.27570330690254,5.68787156401835,6.28440983795848,5.70217110996225,6.71174537393344,5.29016619122998,6.25204302409784,5.1356672071619,6.41970420300584,5.41181962516652,6.15101283293278,5.6887347662479,5.92940010937414,5.70550538197714,5.80866078039949,6.30100359075527,7.25203069407746,5.91635950119341,6.75921331094918,5.67864148406961,7.20252660737265,5.25030106533826,5.61268128949257,5.38314567259996,5.67905980276749,6.00222180791234,5.6076162739025,6.33605085845985,6.54232439777962,6.21182415878786,6.17315495676501,6.18020807784098,6.28663369806829,5.35855005670411,5.48243382865422,5.42344234939249,5.72443668337678,5.74584411108192,6.31240536821346,7.02139080435486,6.79879509318213,6.23068255339672,6.17824811754065,6.19080937152307,6.59389745664467,5.29545798868491,6.15366219317181,5.30452564911422,5.72118549927867,5.57731387764376,6.4809419086728,5.67640382582858,6.85565021292126,5.68322010858273,6.33812490136098,5.43320747416912,7.14443510959328,5.08141718405527,6.23405651459101,6.28409073168117,6.32589792966282,6.47570679457966,7.00288590141124,5.62453559240517,6.53692829174923,6.84262718364413,5.41639462469522,5.75688073288571,5.34228739542728,6.2875325271393,6.04190608174597,6.21823178290354,6.06359827168789,6.87006708321981,5.55601492741806,6.03393199638777,5.50928892609323,6.48483456458504,5.56629356414101,6.41037187034177,5.44039748073125,5.94882948357156,5.74866656520895,6.91486531631114,6.45960798690885,7.11702341455086,5.78457304307238,6.56761059735496,5.84958525654495,6.7142137358397,5.30520244526377,6.38165546518194,4.96847773259941,6.74537861454423,5.96238882172209,6.53269399363321,5.84220314783587,6.87055071491698,5.77118030838568,6.47939829592967,5.37162137090291,6.61992643301836
